node1,node2,tstart,tend,line
Kingsbury,Wembley Park,540,544,Jubilee line to Wembley Park
Seven Sisters,Finsbury Park,540,543,Victoria line to Finsbury Park
Vauxhall,Pimlico,540,541,Victoria line to Pimlico
Pimlico,Vauxhall,540,541,Victoria line to Vauxhall
Bond Street,Baker Street,540,542,Jubilee line to Baker Street
Ealing Broadway,West Acton,541,543,Central line to West Acton
Brent Cross,Golders Green,541,544,Northern line to Golders Green
Embankment,Charing Cross,541,542,Northern line to Charing Cross
Elephant & Castle,Borough,541,542,Northern line to Borough
Tooting Bec,Balham,541,542,Northern line to Balham
Euston,King's Cross St. Pancras,541,542,Victoria line to King's Cross St. Pancras
Oval,Kennington,541,543,Northern line to Kennington
Euston,Warren Street,541,542,Victoria line to Warren Street
Green Park,Victoria,541,543,Victoria line to Victoria
Vauxhall,Stockwell,541,543,Victoria line to Stockwell
Euston,King's Cross St. Pancras,541,542,Victoria line to King's Cross St. Pancras
Moorgate,Barbican,541,542,Hammersmith & City line to Barbican
Canning Town,North Greenwich,541,543,Jubilee line to North Greenwich
Debden,Theydon Bois,541,544,Central line to Theydon Bois
Queensway,Lancaster Gate,541,542,Central line to Lancaster Gate
Euston,Warren Street,541,542,Victoria line to Warren Street
Morden,South Wimbledon,541,543,Northern line to South Wimbledon
Tufnell Park,Kentish Town,541,542,Northern line to Kentish Town
Northwood Hills,Pinner,541,543,Metropolitan line to Pinner
Finchley Central,East Finchley,541,544,Northern line to East Finchley
Canary Wharf,Canada Water,541,543,Jubilee line to Canada Water
Southwark,London Bridge,541,543,Jubilee line to London Bridge
Finchley Road,Swiss Cottage,541,542,Jubilee line to Swiss Cottage
Russell Square,Holborn,541,542,Piccadilly line to Holborn
Gloucester Road,Knightsbridge,541,545,Piccadilly line to Knightsbridge
Westminster,Green Park,541,543,Jubilee line to Green Park
